id_class;id_student;id_subject;score;rank
1;17000;1;4;Trungbinh
2;17001;2;8;Gioi
3;17002;3;8;Gioi
4;17003;4;7;Kha
5;17004;5;5;Trungbinh
6;17005;6;9;Xuat Sac
7;17006;7;1;Truot
8;17007;8;7;Kha
9;17008;9;1;Truot
10;17009;10;2;Truot
11;17010;11;3;Truot
12;17011;12;5;Trungbinh
13;17012;13;7;Kha
14;17013;14;5;Trungbinh
15;17014;15;8;Gioi
16;17015;16;9;Xuat Sac
17;17016;17;7;Kha
18;17017;18;3;Truot
19;17018;19;6;Kha
20;17019;20;6;Kha
21;17020;21;5;Trungbinh
22;17021;22;6;Kha
23;17022;23;9;Xuat Sac
24;17023;24;9;Xuat Sac
25;17024;25;5;Trungbinh
26;17025;26;1;Truot
27;17026;27;1;Truot
28;17027;28;3;Truot
29;17028;29;9;Xuat Sac
30;17029;30;6;Kha
31;17030;31;2;Truot
32;17031;32;9;Xuat Sac
33;17032;33;3;Truot
34;17033;34;8;Gioi
35;17034;35;1;Truot
36;17035;36;7;Kha
37;17036;37;7;Kha
38;17037;38;9;Xuat Sac
39;17038;39;1;Truot
40;17039;40;2;Truot
41;17040;41;9;Xuat Sac
42;17041;42;6;Kha
43;17042;43;6;Kha
44;17043;44;2;Truot
45;17044;45;1;Truot
46;17045;46;8;Gioi
47;17046;47;1;Truot
48;17047;48;9;Xuat Sac
49;17048;49;8;Gioi
50;17049;50;9;Xuat Sac
51;17050;51;6;Kha
52;17051;52;8;Gioi
53;17052;53;5;Trungbinh
54;17053;54;3;Truot
55;17054;55;9;Xuat Sac
56;17055;56;4;Trungbinh
57;17056;57;9;Xuat Sac
58;17057;58;8;Gioi
59;17058;59;6;Kha
60;17059;60;2;Truot
61;17060;61;8;Gioi
62;17061;62;1;Truot
63;17062;63;3;Truot
64;17063;64;1;Truot
65;17064;65;5;Trungbinh
66;17065;66;4;Trungbinh
67;17066;67;5;Trungbinh
68;17067;68;7;Kha
69;17068;69;6;Kha
70;17069;70;3;Truot
71;17070;71;3;Truot
72;17071;72;7;Kha
73;17072;73;4;Trungbinh
74;17073;74;7;Kha
75;17074;75;5;Trungbinh
76;17075;76;8;Gioi
77;17076;77;8;Gioi
78;17077;78;6;Kha
79;17078;79;9;Xuat Sac
80;17079;80;2;Truot
81;17080;81;6;Kha
82;17081;82;1;Truot
83;17082;83;7;Kha
84;17083;84;1;Truot
85;17084;85;8;Gioi
86;17085;86;9;Xuat Sac
87;17086;87;5;Trungbinh
88;17087;88;6;Kha
89;17088;89;3;Truot
90;17089;90;6;Kha
91;17090;91;5;Trungbinh
